country,primary,secondary,points,price,province,title,year,variety,winery
Spain,Woody,Oak,81,11,Catalonia,Raimat 2009 Castell de Raimat Cabernet Sauvignon (Costers del Segre),2009,Cabernet Sauvignon,Raimat
US,Fruity,Tropical,82,13,California,Magnolia Court 2012 Sauvignon Blanc (Central Coast),2012,Sauvignon Blanc,Magnolia Court
US,Woody,Vanilla,89,18,California,Bink 2013 Lumineux Rose (Yorkville Highlands),2013,Rose,Bink
Italy,Pungent,Menthol,91,105,Piedmont,Viberti 2007 La Volta Riserva (Barolo),2007,Nebbiolo,Viberti
US,Fruity,Tree Fruit,90,19,California,Kuyam 2008 Thirteen Moons Red (Santa Barbara County),2008,Bordeaux-style Red Blend,Kuyam
France,Fruity,Berry,87,15,Bordeaux,Chateau Vrai Caillou 2014 Bordeaux Suparieur,2014,Bordeaux-style Red Blend,Chateau Vrai Caillou
Chile,Woody,Vanilla,83,8,Colchagua Valley,Via Bisquertt 2014 Petirrojo Reserva Estate Grown Cabernet Sauvignon (Colchagua Valley),2014,Cabernet Sauvignon,Via Bisquertt
Germany,Fruity,Tree Fruit,93,55,Rheingau,Schloss Johannisberger 2012 Granlock Spatlese Riesling (Rheingau),2012,Riesling,Schloss Johannisberger
US,Microbiological,Yeasty,92,25,California,Ancestrale 2016 Pet Nat Method Ancestral Bassi Vineyard Pinot Noir (San Luis Obispo County),2016,Pinot Noir,Ancestrale
US,Fruity,Citrus,91,20,California,Calstar Cellars 2014 Sauvignon Blanc (Russian River Valley),2014,Sauvignon Blanc,Calstar Cellars
Argentina,Woody,Oak,82,12,Mendoza Province,Casarena 2014 505 Chardonnay (Mendoza),2014,Chardonnay,Casarena
New Zealand,Herbal,Fresh,88,15,Marlborough,Twin Islands 2013 Sauvignon Blanc (Marlborough),2013,Sauvignon Blanc,Twin Islands
Australia,Fruity,Citrus,87,19,South Australia,Penfolds 2002 Reserve Bin Riesling (Eden Valley),2002,Riesling,Penfolds
US,Fruity,Tree Fruit,86,22,California,Roth 2010 Merlot (Alexander Valley),2010,Merlot,Roth
Portugal,Microbiological,Lactic,87,10,Tejo,Quinta da Alorna 2011 Portal da Aguia White (Tejo),2011,Portuguese White,Quinta da Alorna
US,Fruity,Tree Fruit,89,12,Oregon,Firesteed 2009 Pinot Gris (Oregon),2009,Pinot Gris,Firesteed
US,Woody,Oak,82,18,California,Peltier 2010 Peltier Station Zinfandel (Lodi),2010,Zinfandel,Peltier
US,Fruity,Citrus,87,12,California,Line 39 2014 Pinot Grigio (California),2014,Pinot Grigio,Line 39
Argentina,Microbiological,Lactic,85,18,Mendoza Province,Chakana 2014 Estate Selection Chardonnay (Mendoza),2014,Chardonnay,Chakana
France,Fruity,Tropical,93,70,Burgundy,La Chablisienne 2009 Les Preuses Grand Cru (Chablis),2009,Chardonnay,La Chablisienne
US,Fruity,Berry,87,30,California,Cline 2012 Live Oak Vineyards Zinfandel (Contra Costa County),2012,Zinfandel,Cline
France,Fruity,Tree Fruit,86,25,Burgundy,Simonnet-Febvre 2011 Bourgogne Vazelay,2011,Chardonnay,Simonnet-Febvre
Spain,Herbal,Cooked,89,35,Northern Spain,Puelles 2004 Reserva (Rioja),2004,Tempranillo,Puelles
US,Herbal,Fresh,96,50,California,Babcock 2009 Microcosm Pinot Noir (Sta. Rita Hills),2009,Pinot Noir,Babcock
Italy,Fruity,Berry,95,90,Piedmont,Damilano 2011 Cannubi (Barolo),2011,Nebbiolo,Damilano
US,Herbal,Dried,85,36,California,Collier Falls 2011 Hillside Estate Primitivo (Dry Creek Valley),2011,Primitivo,Collier Falls
Argentina,Woody,Oak,91,150,Mendoza Province,Bodega Catena Zapata 2008 Adrianna Vineyard Malbec (Mendoza),2008,Malbec,Bodega Catena Zapata
